"stop,name_tc,name_en"
"001139,金鐘 - 港鐵 B 出口,Admiralty - MTR Exit B"
"001140,""金鐘 - 太古廣場, 金鐘道"",""Admiralty - Pacific Place, Queensway"""
"001141,""金鐘 - 高等法院, 金鐘道"",""Admiralty - High Court, Queensway"""
"001142,""中銀大廈, 金鐘道"",""Bank of China Tower, Queensway"""
"001143,""國際金融中心二期, 民耀街"",""Two International Finance Centre, Man Yiu Street"""
"001144,""國際金融中心二期, 民耀街"",""Two International Finance Centre, Man Yiu Street"""
"001145,中環碼頭 - 巴士總站,Central Ferry - Bus Terminus"
"001146,""英華女學校, 羅便臣道"",""Ying Wa Girls' School, Robinson Road"""
"001147,""蔚巒閣, 羅便臣道"",""Peaksville, Robinson Road"""
"001148,""西摩道, 羅便臣道"",""Seymour Road, Robinson Road"""
"001149,""高主教書院, 羅便臣道"",""Raimondi College, Robinson Road"""
"001150,""花園台, 羅便臣道"",""Garden Terrace, Robinson Road"""
"001151,金鐘 - 樂禮街,Admiralty - Rodney Street"
"001152,堅尼地城,Kennedy Town"
"001153,第二街,Second Street"
"001154,""寶玉閣, 西摩道"",""Jadestone Court, Seymour Road"""
"001155,""衛城道, 西摩道"",""Castle Road, Seymour Road"""
"001156,""羅便臣道, 西摩道"",""Robinson Road, Seymour Road"""
"001157,金鐘 - 添馬街,Admiralty - Tamar Street"
"001158,""香港禮賓府, 上亞厘畢道"",""Government House, Upper Albert Road"""
"001159,""摩星嶺徑, 域多利道"",""Mount Davis Path, Victoria Road"""
"001160,""明愛賽馬會宿舍, 域多利道"",""Caritas Jockey Club Hostel, Victoria Road"""
"001161,""港島西廢物轉運站, 域多利道"",""Island West Transfer Station, Victoria Road"""
"001162,""西寧街, 域多利道"",""Sai Ning Street, Victoria Road"""
"001163,""西市街, 域多利道"",""Sai See Street, Victoria Road"""
"001164,""加惠民道, 域多利道"",""Ka Wai Man Road, Victoria Road"""
"001165,""西寧閣, 域多利道"",""Serene Court, Victoria Road"""
"001166,""港島西廢物轉運站, 域多利道"",""Island West Transfer Station, Victoria Road"""
"001167,""明愛賽馬會宿舍, 域多利道"",""Caritas Jockey Club Hostel, Victoria Road"""
"001168,""摩星嶺徑, 域多利道"",""Mount Davis Path, Victoria Road"""
"001170,""中環碼頭 - 愉景灣渡輪, 民光街"",""Central Ferry - Discovery Bay Ferry, Man Kwong Street"""
